title_name,company_name,location,summary,post_day,rating,salary,jobs_type
Data Scientist,Data Xpander,"Irving, TX","They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right…View all Data Xpander jobs in Irving, TX - Irving jobsSalary Search: Data Scientist salaries in Irving, TX",26 days ago,,,
Behavioral Data Scientist,Microsoft,"Hybrid remote in Dallas, TX+1 location","Work with large, complex data sets.Masters or PhD in a quantitative social science.Experience utilizing data to drive decisions and change minds.View all Microsoft jobs in Dallas, TX - Dallas jobsSalary Search: Behavioral Data Scientist salaries in Dallas, TXSee popular questions & answers about Microsoft",30+ days ago,4.2,,Full-time
Data Scientist,LOCKHEED MARTIN CORPORATION,"Grand Prairie, TX 75051 75051+1 location","This role will have a particular focus on supporting the development of data science products by working with stakeholders to understand their business needs,…View all LOCKHEED MARTIN CORPORATION jobs in Grand Prairie, TX - Grand Prairie jobsSalary Search: Data Scientist salaries in Grand Prairie, TXSee popular questions & answers about LOCKHEED MARTIN CORPORATION",30+ days ago,4.0,,
Professional-Data Scientist,AT&T,"Plano, TX+3 locations","Perform data studies and data discovery around new data sources or new uses for existing data sources.Design and build large and complex data sets, from…View all AT&T jobs in Plano, TX - Plano jobsSalary Search: Professional-Data Scientist salaries in Plano, TXSee popular questions & answers about AT&T",26 days ago,3.7,,Full-time
newSports Statistician,Life Time,"Plano, TX","Experience tracking full statistical data for league games (in the areas of basketball, soccer, volleyball, etc).Tracks all relevant statistics during games.View all Life Time jobs in Plano, TX - Plano jobsSalary Search: Sports Statistician salaries in Plano, TXSee popular questions & answers about Life Time",7 days ago,3.5,,Part-time
"Product Manager, Data Science",Salesforce,"Dallas, TX 75201 75201 (Downtown area)","From financial forecasting, customer health, adoption insights to the utmost trusted and curated data, the Data Intelligence team is the unbiased partner to all…View all Salesforce jobs in Dallas, TX - Dallas jobsSalary Search: Product Manager, Data Science salaries in Dallas, TXSee popular questions & answers about Salesforce",13 days ago,4.3,,Full-time
Data Scientist,CBL Solutions,"Remote in Dallas, TX+1 location","Can manage large sets of data to tell a story.Note: Client will Sponsor / Transfer H1-B for Suitable consultants.*.View all CBL Solutions jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TX",Active 2 days ago,,,Full-time
Quantitative Analytics Associate,WELLS FARGO BANK,"Addison, TX","The AI and ML CoE is a team of data science and advanced analytics practitioners responsible for the development and deployment of solutions involving…View all WELLS FARGO BANK jobs in Addison, TX - Addison jobsSalary Search: Quantitative Analytics Associate salaries in Addison, TXSee popular questions & answers about WELLS FARGO BANK",30+ days ago,3.7,,Full-time
newData Scientist,PepsiCo,"Plano, TX+3 locations","Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption.Refine requirements into modelling problems.View all PepsiCo jobs in Plano, TX - Plano jobsSalary Search: Data Scientist salaries in Plano, TXSee popular questions & answers about PepsiCo",6 days ago,3.8,,Full-time
Data Scientist,Cyber Infotech,"Dallas, TX","Identify patterns & trends in data, and provides insights to enhance business decision making.Build, implement and maintain predictive models through their…View all Cyber Infotech jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TX",25 days ago,,,
"Senior Associate, Data Science - Statistical Modeling",Capital One - US,"Plano, TX+7 locations","You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms.At least 2 years’ experience with SQL.View all Capital One - US jobs in Plano, TX - Plano jobsSalary Search: Senior Associate, Data Science - Statistical Modeling salaries in Plano, TXSee popular questions & answers about Capital One - US",30+ days ago,3.9,,
Manager of Data Science,Hawkeye,"Dallas, TX 75201 75201 (Uptown area)","MS in data science/analytics with 2+ years of applicable marketing experience OR BA in data science/analytics with 4+ years of applicable marketing experience.View all Hawkeye jobs in Dallas, TX - Dallas jobsSalary Search: Manager of Data Science salaries in Dallas, TXSee popular questions & answers about Hawkeye",30+ days ago,4.3,,Full-time
newData Science Manager- Applied Artificial Intelligence,Deloitte,"Dallas, TX 75201 75201 (Downtown area)+56 locations","To prepare data for analysis, visualize data as part of exploratory analysis, generate features, and other similar data science driven data handling.View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: Data Science Manager- Applied Artificial Intelligence salaries in Dallas, TXSee popular questions & answers about Deloitte",1 day ago,4.0,,Full-time
"Data Scientist, Analytics II",Expedia Group,"Dallas, TX 75215 75215","Experienced in the fundamentals of big data architecture (streaming events, data lakes, analytics engines) and relational database models.View all Expedia Group jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist, Analytics II salaries in Dallas, TXSee popular questions & answers about Expedia Group",30+ days ago,3.9,,Full-time
"Data Scientist I, Biostatistics and Machine Learning",UT Southwestern,"Dallas, TX 75390 75390 (Design District area)+3 locations","The Data Scientist will participate in data science research projects on biomedical data (electronic health records, digital pathology, and molecular profiling)…View all UT Southwestern jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist I, Biostatistics and Machine Learning salaries in Dallas, TXSee popular questions & answers about UT Southwestern",30+ days ago,3.8,,Full-time
Data Scientist,"Airbus Helicopters, Inc","Grand Prairie, TX 75052 75052","Master's Degree in data science.Perform data exploration on both internal data (SAP, SIEBEL, Saleforce.com) and Customer's data (aircraft data, maintenance…View all Airbus Helicopters, Inc jobs in Grand Prairie, TX - Grand Prairie jobsSalary Search: Data Scientist salaries in Grand Prairie, TXSee popular questions & answers about Airbus Helicopters, Inc",30+ days ago,4.2,,
newMachine Learning Engineer,AK Information Technology,"Irving, TX","Extensive knowledge of ML frameworks, libraries, databases, data structures, data modeling and software architecture.Analytical and problem solving skills.View all AK Information Technology jobs in Irving, TX - Irving jobsSalary Search: Machine Learning Engineer salaries in Irving, TX",1 day ago,,$60 - $70 an hour,$60 - $70 an hour
newVP Data Scientist,"JPMorgan Chase Bank, N.A.","Plano, TX+6 locations","The VP Data Scientist is an individual contributor who should be able to apply quantitative, data science and analytical skills to complex problems.View all JPMorgan Chase Bank, N.A. jobs in Plano, TX - Plano jobsSalary Search: VP Data Scientist salaries in Plano, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",6 days ago,3.9,,Full-time
Data Engineer,McKinsey & Company,"Dallas, TX","You will explore advanced techniques including machine learning, data science, artificial intelligence, statistics, and/or applied mathematics as you grow in…View all McKinsey & Company jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer salaries in Dallas, TXSee popular questions & answers about McKinsey & Company",16 days ago,4.3,,
Data Scientist,BRP,"Plano, TX 75024 75024","Quickly learn and deploy appropriate data science tools, with tasks including experimental design and analysis, optimization, and machine learning.View all BRP jobs in Plano, TX - Plano jobsSalary Search: Data Scientist salaries in Plano, TX",15 days ago,3.9,,
newProfessional-Advanced Analytics,AT&T,"Dallas, TX","This position analyzes data from multiple sources, including data lakes, internal/external data, data warehouses, etc.Typically requires 3-5 years' experience.View all AT&T jobs in Dallas, TX - Dallas jobsSee popular questions & answers about AT&T",6 days ago,3.7,,Full-time
"Data Engineer, Analytics & Cognitive - Consultant (SQL/Pytho...",Deloitte,"Dallas, TX 75201 75201 (Downtown area)+5 locations","2+ years of hands on experience with data core modernization and data ingestion.Implement large-scale data ecosystems including data management, governance and…View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer, Analytics & Cognitive - Consultant (SQL/Python) salaries in Dallas, TXSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
