title_name,company_name,location,summary,post_day,rating,salary,jobs_type
Data Scientist,Houston Methodist,"Houston, TX","Makes revisions to data entry screens and data checks; reviewes and resolves data discrepencies.O Ability to perform exploratory data analysis.View all Houston Methodist jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TXSee popular questions & answers about Houston Methodist",30+ days ago,4.2,,Full-time
Data Science & Machine Learning SA w/ Conversational AI,PRICE WATERHOUSE COOPERS,"Remote in Houston, TX 77002 77002+5 locations","Understanding of conversational (Chats, emails and Calls) data, and the use of this data to train NLP Pipeline and chatbots;View all PRICE WATERHOUSE COOPERS jobs in Houston, TX - Houston jobsSalary Search: Data Science & Machine Learning SA w/ Conversational AI salaries in Houston, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",28 days ago,4.0,,
Data Scientist,Endress+Hauser Inc.,"Remote in Pearland, TX 77047 77047","Continuously assess fit to introduce and implement Industry 4.0 opportunities to the Endress+Hauser organization, as well as digital products & services as they…View all Endress+Hauser Inc. jobs in Pearland, TX - Pearland jobsSalary Search: Data Scientist salaries",27 days ago,,,Full-time
newData Analytics Associate,Baylor College of Medicine,"Houston, TX 77030 77030 (Medical Center area)","In partnership with research investigators, documents data extraction, data preparation (including linking datasets), data management, and data analysis plans…View all Baylor College of Medicine jobs in Houston, TX - Houston jobsSalary Search: Data Analytics Associate salaries in Houston, TXSee popular questions & answers about Baylor College of Medicine",7 days ago,3.8,,
newData Scientist,Westlake Chemical,"Houston, TX 77002 77002 (Downtown area)+1 location","Minimum 8 years of data science experience.Experience in data quality analysis, data cleansing, and data engineering.View all Westlake Chemical jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TXSee popular questions & answers about Westlake Chemical",1 day ago,3.7,,Full-time
newData Scientist,ABM Industries,"Remote in Sugar Land, TX 77478 77478","Partner with data security team and infrastructure teams to understand/establish protocols for data consumption, Masking and encryption of data.View all ABM Industries jobs in Sugar Land, TX - Sugar Land jobsSalary Search: Data Scientist salaries in Sugar Land, TXSee popular questions & answers about ABM Industries",8 days ago,3.2,,Full-time
Bioinformatics Programmer I - Machine Learning,Baylor College of Medicine,"Houston, TX 77030 77030 (Medical Center area)","Proficient knowledge of genomics and next-generation sequencing technology tools, data analyses involved, and related biomedical sciences databases.View all Baylor College of Medicine jobs in Houston, TX - Houston jobsSalary Search: Bioinformatics Programmer I - Machine Learning salaries in Houston, TXSee popular questions & answers about Baylor College of Medicine",14 days ago,3.8,,
Python Software Engineer (Cloud/Data Science),"JPMorgan Chase Bank, N.A.","Houston, TX","In this team you will work with Quantitative Researchers to accelerate the adoption of machine learning and cloud technologies.View all JPMorgan Chase Bank, N.A. jobs in Houston, TX - Houston jobsSalary Search: Python Software Engineer (Cloud/Data Science) salaries in Houston, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",16 days ago,3.9,,Full-time
Staff Data Scientist,bp,"Houston, TX","Apply in-depth statistical methods and data science algorithms to make decisions and prioritize opportunities to drive commercial excellence through data.View all bp jobs in Houston, TX - Houston jobsSalary Search: Staff Data Scientist salaries in Houston, TXSee popular questions & answers about bp",9 days ago,3.8,,Full-time
newData Scientist,Ayasdi,"Remote in Houston, TX 77001 77001","Evaluate the feasibility of the data science project proposed by customers.Knowledge of topological data analysis.Experience in SQL, Tensorflow/Keras.View all Ayasdi jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TX",8 days ago,2.3,,Full-time
Postdoctoral Associate - Data Science,Baylor College of Medicine,"Houston, TX 77030 77030 (Medical Center area)","The position is intended for Computer Science or Computational Biology graduates transitioning to a data science and bioinformatics career.View all Baylor College of Medicine jobs in Houston, TX - Houston jobsSalary Search: Postdoctoral Associate - Data Science salaries in Houston, TXSee popular questions & answers about Baylor College of Medicine",15 days ago,3.8,,
RRC - Critical Infrastructure Division - Data Analyst I-II -...,RAILROAD COMMISSION OF TEXAS,"Houston, TX 77008 77008 (Heights area)","Assists in identifying and interpreting data patterns and trends and assessing data quality.Performing data clean-up and transformation, including migration of…View all RAILROAD COMMISSION OF TEXAS jobs in Houston, TX - Houston jobsSalary Search: RRC - Critical Infrastructure Division - Data Analyst I-II - Houston (East) Region salaries in Houston, TXSee popular questions & answers about RAILROAD COMMISSION OF TEXAS",15 days ago,3.7,"$3,293 - $5,371 a month","$3,293 - $5,371 a month"
newCloud Data Engineer,NexTier,"Houston, TX 77042 77042 (West Houston area)","Develop data APIs to support applications and data integrations.Work with the application development and data science teams supporting digital strategies.View all NexTier jobs in Houston, TX - Houston jobsSalary Search: Cloud Data Engineer salaries in Houston, TXSee popular questions & answers about NexTier",2 days ago,3.3,,Full-time
Data Scientist,"Baylor Miraca Genetics Laboratories, LLC","Houston, TX 77021 77021 (Southeast area)","Perform data profiling and data analysis for any source systems and the target data repositories.Build tools to automate data collection.View all Baylor Miraca Genetics Laboratories, LLC jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TXSee popular questions & answers about Baylor Miraca Genetics Laboratories, LLC",30+ days ago,2.7,,Full-time
Machine Learning Engineer,Salesforce,"Houston, TX","Design and implement data science applications.3-5 years hands on experience in building data science applications and machine learning pipelines.View all Salesforce jobs in Houston, TX - Houston jobsSalary Search: Machine Learning Engineer salaries in Houston, TXSee popular questions & answers about Salesforce",30+ days ago,4.3,,Full-time
newSenior Data Science Software Engineer (Remote),Wood Mackenzie,"Remote in Houston, TX 77057 77057","This role will be part of the data asset team work working as part of a cross functional team to deliver best in class data and analytics to our clients.View all Wood Mackenzie jobs in Houston, TX - Houston jobsSalary Search: Senior Data Science Software Engineer (Remote) salaries in Houston, TXSee popular questions & answers about Wood Mackenzie",Today,4.1,,Full-time
newSr. Data Analyst,TSN Partners,"Sugar Land, TX 77478 77478","Extracts data from the company's ERP system, including current or historical data.Be a subject matter expert in data mining and interpretation and proficient…View all TSN Partners jobs in Sugar Land, TX - Sugar Land jobsSalary Search: Sr. Data Analyst salaries in Sugar Land, TX",2 days ago,,"$100,000 - $120,000 a year","$100,000 - $120,000 a year"
Data Science Manager,Bain & Company,"Houston, TX 77010 77010 (Downtown area)+1 location","Train relevant AAG team members to support big data/data science initiatives.This position will be part of the Advanced Analytics Group (Bain’s team of data…View all Bain & Company jobs in Houston, TX - Houston jobsSalary Search: Data Science Manager salaries in Houston, TXSee popular questions & answers about Bain & Company",30 days ago,4.3,,Full-time
Applied Data Scientist,SABIC - Saudi Basic Industries Corp.,"Sugar Land, TX","Ability to carry out advanced data analyses.Demonstrated experience in use of data based models to optimize industrial processes is preferred.View all SABIC - Saudi Basic Industries Corp. jobs in Sugar Land, TX - Sugar Land jobsSalary Search: Applied Data Scientist salaries in Sugar Land, TX",18 days ago,,,
Bioinformatics Analyst I - Multi-omics analysis,Baylor College of Medicine,"Houston, TX 77030 77030 (Medical Center area)","Analysis will further incorporate advanced data science techniques such as deep learning and classification to identify potential infection and disease drivers,…View all Baylor College of Medicine jobs in Houston, TX - Houston jobsSalary Search: Bioinformatics Analyst I - Multi-omics analysis salaries in Houston, TXSee popular questions & answers about Baylor College of Medicine",12 days ago,3.8,,
"Director, Data Science",NRG,"Houston, TX 77002 77002 (Downtown area)","Strong data background including knowledge of 3NF, star schema, and NoSQL database designs.The worker is required to have close visual acuity to perform an…View all NRG jobs in Houston, TX - Houston jobsSalary Search: Director, Data Science salaries in Houston, TXSee popular questions & answers about NRG",30+ days ago,3.8,,Full-time
Senior Data Analyst,KesarWeb,"Houston, TX","Providing technical expertise in data storage structures, data mining, and data cleansing.You will take responsibility for managing our master data set,…View all KesarWeb jobs in Houston, TX - Houston jobsSalary Search: Senior Data Analyst salaries in Houston, TX",Active 28 days ago,,"$54,977 - $126,416 a year","$54,977 - $126,416 a year"
Mathematical Optimization Scientist (Upstream),ExxonMobil,"Houston, TX","ExxonMobil is looking for mathematical optimization scientists with backgrounds in operations research, management sciences, applied mathematics or engineering.View all ExxonMobil jobs in Houston, TX - Houston jobsSalary Search: Mathematical Optimization Scientist (Upstream) salaries in Houston, TXSee popular questions & answers about ExxonMobil",30+ days ago,3.9,,
Assistant Data Scientist Analyst,Tokio Marine HCC,"Houston, TX 77040 77040 (Cypress-Fairbanks area)","Use data to tell a story.Draws insights from many different forms of data and has a passion for data driven creative processes, predictive models, and…View all Tokio Marine HCC jobs in Houston, TX - Houston jobsSalary Search: Assistant Data Scientist Analyst salaries in Houston, TXSee popular questions & answers about Tokio Marine HCC",26 days ago,3.3,,Full-time
newDirector of Total Data Safety,Wood Mackenzie,"Houston, TX 77057 77057 (Uptown area)","Hands-on experience in building and operating data governance and/or safety programmes, preferably in a commercial data analytics organisation;View all Wood Mackenzie jobs in Houston, TX - Houston jobsSalary Search: Director of Total Data Safety salaries in Houston, TXSee popular questions & answers about Wood Mackenzie",1 day ago,4.1,,Full-time
newData Analyst,Glow Networks,"Spring, TX 77389 77389","Participate in projects requiring data science engineering.Create plans, data collection and analysis procedures and data insight visualizations for assigned…View all Glow Networks jobs in Spring, TX - Spring jobsSalary Search: Data Analyst salaries in Spring, TX",5 days ago,,$40.00 - $41.50 an hour,$40.00 - $41.50 an hour
Data Science & Machine Learning SA w/ Conversational AI,PRICE WATERHOUSE COOPERS,"Remote in Houston, TX 77002 77002+5 locations","Understanding of conversational (Chats, emails and Calls) data, and the use of this data to train NLP Pipeline and chatbots;View all PRICE WATERHOUSE COOPERS jobs in Houston, TX - Houston jobsSalary Search: Data Science & Machine Learning SA w/ Conversational AI salaries in Houston, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",28 days ago,4.0,,
newAutonomous Vehicle MLOps Lead,Deloitte,"Houston, TX 77002 77002 (Downtown area)","Integrate with data pipeline process for target datasets - models during training and simulation.Bachelor's Degree in CS or IE/Data science with 6+ years in…View all Deloitte jobs in Houston, TX - Houston jobsSee popular questions & answers about Deloitte",1 day ago,4.0,,Full-time
Data Analyst,Revolt Media & TV,"Remote in Houston, TX","You will be responsible for supporting data integrity, including documenting data layers and QA’ing data engineering work.View all Revolt Media & TV jobs in Houston, TX - Houston jobsSalary Search: Data Analyst salaries in Houston, TXSee popular questions & answers about Revolt Media & TV",15 days ago,3.5,,Full-time
"Python & PHP Developer for AI, Big Data Analytics",Currux Vision LLC,"Houston, TX 77027 77027 (River Oaks area)","If you do not have a working knowledge of Python and PHP do not apply.Performing complex analysis, design, development, testing, and debugging of state of the…View all Currux Vision LLC jobs in Houston, TX - Houston jobsSalary Search: Python & PHP Developer for AI, Big Data Analytics salaries in Houston, TX",Active 3 days ago,,From $20 an hour,From $20 an hour
Data Engineer,ORTEC INTERNATIONAL USA INC,"Houston, TX 77027 77027 (River Oaks area)","Operationalization of the data science solution.You will put your creativity and data engineering expertise to value and together with your enthusiastic…View all ORTEC INTERNATIONAL USA INC jobs in Houston, TX - Houston jobsSalary Search: Data Engineer salaries in Houston, TX",19 days ago,,,
Data Scientist,Coterra Energy,"Houston, TX 77024 77024 (Greater Memorial area)","Teach others how to apply data science and data analysis to their work.Experience with exploratory data analysis.View all Coterra Energy jobs in Houston, TX - Houston jobsSalary Search: Data Scientist salaries in Houston, TXSee popular questions & answers about Coterra Energy",12 days ago,4.2,,
Data Scientist,PinnacleART,"Pasadena, TX","2+ years in data science, specifically using machine learning and statistical tools to solve real problems.Develop data-driven tools for the organization using…View all PinnacleART jobs in Pasadena, TX - Pasadena jobsSalary Search: Data Scientist salariesSee popular questions & answers about PinnacleART",27 days ago,2.7,,
newAutonomous Vehicle MLOps Lead,Deloitte,"Houston, TX 77002 77002 (Downtown area)","Integrate with data pipeline process for target datasets - models during training and simulation.Bachelor's Degree in CS or IE/Data science with 6+ years in…View all Deloitte jobs in Houston, TX - Houston jobsSee popular questions & answers about Deloitte",1 day ago,4.0,,Full-time
newPrincipal Data Scientist,Microsoft,"Houston, TX","The ideal candidate will possess a deep knowledge of data and analytics in the supply chain domain with the proven ability to apply big data analytical tools…View all Microsoft jobs in Houston, TX - Houston jobsSalary Search: Principal Data Scientist salaries in Houston, TXSee popular questions & answers about Microsoft",6 days ago,4.2,,Full-time
newData Analyst,Glow Networks,"Spring, TX 77389 77389","Participate in projects requiring data science engineering.Create plans, data collection and analysis procedures and data insight visualizations for assigned…View all Glow Networks jobs in Spring, TX - Spring jobsSalary Search: Data Analyst salaries in Spring, TX",5 days ago,,$40.00 - $41.50 an hour,$40.00 - $41.50 an hour
"Data Engineer, PySpark",Computer Staff,"Houston, TX","Experience engineering data solutions working with big data, including sensor data or data from internet of things and performing time series analysis upon data…View all Computer Staff jobs in Houston, TX - Houston jobsSalary Search: Data Engineer, PySpark salaries in Houston, TX",25 days ago,,"$140,000 - $170,000 a year","$140,000 - $170,000 a year"
"newLEAD CONSULTANT, DATA SCIENTIST",WSP,"Remote in Houston, TX","Remain current in latest data science techniques and practices.Experience with data transformation and data communication protocol.View all WSP jobs in Houston, TX - Houston jobsSalary Search: LEAD CONSULTANT, DATA SCIENTIST salaries in Houston, TXSee popular questions & answers about WSP",Just posted,3.8,,
Python Software Engineer (Cloud/Data Science),"JPMorgan Chase Bank, N.A.","Houston, TX","In this team you will work with Quantitative Researchers to accelerate the adoption of machine learning and cloud technologies.View all JPMorgan Chase Bank, N.A. jobs in Houston, TX - Houston jobsSalary Search: Python Software Engineer (Cloud/Data Science) salaries in Houston, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",16 days ago,3.9,,Full-time
newAssociate Data Scientist,Sysco,"Houston, TX+1 location","Identify necessary data elements and their sources, leverage appropriate tools to acquire and consolidate large volumes of data from different internal and…View all Sysco jobs in Houston, TX - Houston jobsSalary Search: Associate Data Scientist salaries in Houston, TXSee popular questions & answers about Sysco",1 day ago,3.3,,Full-time
"Python & PHP Developer for AI, Big Data Analytics",Currux Vision LLC,"Houston, TX 77027 77027 (River Oaks area)","If you do not have a working knowledge of Python and PHP do not apply.Performing complex analysis, design, development, testing, and debugging of state of the…View all Currux Vision LLC jobs in Houston, TX - Houston jobsSalary Search: Python & PHP Developer for AI, Big Data Analytics salaries in Houston, TX",Active 3 days ago,,From $20 an hour,From $20 an hour
Data Quality Analyst,Redbridge USA Inc.,"Houston, TX 77002 77002 (Downtown area)","1+ years in an analyst or data science operations role.Evaluate data quality using data analysis techniques for accuracy and completeness.View all Redbridge USA Inc. jobs in Houston, TX - Houston jobsSalary Search: Data Quality Analyst salaries in Houston, TX",Active 2 days ago,,,
Data Analyst,ACV Auctions,"Remote in Houston, TX","MS in a STEM discipline such statistics, computer science, data science or mathematics.Proficiency in identifying strengths, weaknesses, opportunities, and…View all ACV Auctions jobs in Houston, TX - Houston jobsSalary Search: Data Analyst salaries in Houston, TXSee popular questions & answers about ACV Auctions",16 days ago,3.7,,
