jid,Company_name,Industry
5b759e24494b95b0,Integra MLTC,Healthcare
861e484d770bc9fb,General Motors,Transportation Equipment Manufacturing
d4bfc3a2ddddd293,General Motors,Transportation Equipment Manufacturing
5b96b07c0f70a00d,Cigniti Technologies,Information Technology
867687c42b2834c2,"Ursus, Inc.",Human Resources & Staffing
518c00ccb9c66783,Ellucian,Information Technology
ac0fe18fbf431cd7,Mobileum Inc.,
4b0578da9a82451d,TentandTable.com,Advertising & Public Relations
d83491aee3d8718e,"Martin Luther King, Jr. Community Hospital",Healthcare
8c45cef3aa924314,City of Lewisville,Government & Public Administration
2e8410547562ab66,American First Finance,Financial Services
e61b3ee49103b3d1,Centivo,Insurance Carriers
62c219f12718b265,The Parent Company,
f15ce97a2906063d,SMS Datacenter,
17a375452b2a6c15,United Talent Agency (UTA),
b830e882723ea363,MasterBrand Cabinets Inc.,"Construction, Repair & Maintenance Services"
fc32350041c7b368,Apollo MIS LLC,Software Development
657369749490a4be,San Jose/Evergreen Community College District,
46bb65fa83cf9c57,PFS Group,Healthcare
40865fa7341d97bb,Walmart,Retail & Wholesale
b94b738971767f2f,Triumph Business Capital,Transportation & Logistics
71ad95441614f177,Anheuser-Busch,Retail & Wholesale
516fdc4853de2da1,Verizon,Telecommunications
558beefcf93b78b5,AdAction Interactive LLC,
b96fa630a7545e60,CBS,Media & Communication
fd8698c6da8ac2a5,Trust Consulting Services Inc.,Management & Consulting
7fa2e7e51704fd86,VS Media,
bb6ef1bd75fb27bd,Internet Brands,Information Technology
52c6c0238dfd8d90,ECC,Business Consulting
6e11d93a1e66129c,Hotchkis & Wiley,
a0c029ded94b17eb,Apple,Manufacturing
f7a8ea9cda41a970,QuinStreet,Software Development
70e2f0779798c827,S&P Global,Financial Services
d3a02f8c1fac24d1,S&P Global,Financial Services
b0333913a3dc4c79,Remington Hotels,Hotels & Travel Accommodation
44934d5d47849e3a,SoHo Dragon,
341a3404623861ed,"CareMount Health Solutions, LLC",Healthcare
c8c90ecb0612d698,UNIVERSAL Technologies,Metal & Mineral Manufacturing
b6139f183325cbfe,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Healthcare
a39bb64a9bdcfddb,Deloitte,Management & Consulting
9633ead3d6f6cd13,Sysco,Retail & Wholesale
fc9b7cc16312dd96,Acquco,Retail & Wholesale
6ada3155fbdee47d,"TapHere Technology, LLC",
38bfe5acd2bf7e25,Trinity Industries,Manufacturing
ab321f809df17a77,CBANC Network,
108a5f74c7efe127,Gap Inc.,Retail & Wholesale
816ae2bebaaf6496,Pepperdine University,Education
83e64e2a1997b1f2,Dutech System,
34f46bf318d18b6c,Inspire Medical Systems I,
2a6a8d6452af429e,Vestracare,Nursing Care Facilities
49649eb2d85795dd,City of Hope,Healthcare
aa6d412ca10442d6,NYC Careers,Government & Public Administration
444bc79cc334e9ea,A-LIGN,
1259e08bcdff6bf8,Volcom llc,
c0173e0dca18d7b8,The Marketing Arm,Consulting and Business Services
0ed3b3b6b9084002,Blackstone Technology Group,Education
5e077c276c69cd41,Wish,Retail & Wholesale
8063f5afc49dc48f,Hewlett Packard Enterprise,Information Technology
24898df80ad3b5fe,County of San Mateo,
e14e91dd330b89e8,Luxottica,Retail & Wholesale
05b17691970de8ff,ST. David's Healthcare,Health Care
4c28707e7f066cce,"City of Burbank, CA",Government & Public Administration
51384650eb84e45a,Capgemini,Information Technology
a0d192e6266ac454,"INFINITY COURT RESEARCH & RETRIEVAL, INC",Human Resources & Staffing
7de8c5664a5018d6,First American,Financial Services
dae46e7e506b5453,AT&T,Telecommunications
a6de06528bded11f,AT&T,Telecommunications
f3b87f46c4fe54f7,FedEx Services,Transportation & Logistics
84d9b50a1f73e745,United Regional Health Care System,Healthcare
732c4c7fd4b06e0a,NGK Spark Plugs (USA) Inc.,Transportation Equipment Manufacturing
9dbc1a4563ccbef0,NYC Health + Hospitals,Healthcare
00d46e77adc9b168,Forage,Restaurants & Cafes
6424bf5322a7797f,Allsup's Convenience Stores,Personal Consumer Services
87f8bbcf854ddb6e,ConnectiCare,Insurance Carriers
bd33241011aea839,Fidelity Investments,Financial Services
00ec72a9d5e4397a,HealthTrust,
3216de77ccb1215b,Scripps Research,Nonprofit & NGO
1334997d69bf2a32,Beta Search,
6aad4200a4051d2c,"Vizient, Inc.",Healthcare
a564475c5d301bf2,Chainalysis,Information Technology
03e2aa8c9335ddd8,Amazon.com Services LLC,Information Technology
a80aec7279f7e041,"Entegris, Inc.",
45896771d725150a,California State University,Education
c7ca17e2e2f1efb8,Staffing Solutions Organization LLC (SSO),
8b22418b62685047,Change Healthcare,Healthcare
2b2fea248ab87ab4,Mr. Cooper,Financial Services
396c1d9779011e4f,Austin Community College,Education
b3b664c774b8b808,Cognizant,Information Technology
9ac46c98e2a16bbc,"CNO Financial Group, Inc.",Insurance
f134f5b23a57130e,Visa,Financial Services
c13245286ca384f9,West Advanced Technologies (WATI),
5f07bd46ccd9b70c,KPMG,Accounting & Tax
9451118b4909e3da,BTI Solutions,Telecommunications
4b17fa9f00a7e4a2,"Stefanini, Inc",Information Technology
01305f0097c41ac6,"JPMorgan Chase Bank, N.A.",
60578bd793b6778b,Citi,Financial Services
985578fe483ecde9,Immigrant Legal Resource Center,
4feb0c45890d06dc,Gelfand Rennert & Feldman,Consulting and Business Services
836ec28b156acd44,Google,Information Technology
990837eec78d532b,MobilityWare,"Arts, Entertainment & Recreation"
