jid,Company_name,Industry
944740d981213184,New Relic,Information Technology
c283b35acb3867dd,Knoema,
431e8eaf91227748,ENGINE Group,
176bac3dde580771,"Jefferies & Company, Inc.",Financial Services
d3fe6815aceaba6a,"Jefferies & Company, Inc.",Financial Services
8264c6640c8591d7,Avratti Solutions Corp,Information Technology Support Services
35f0a4a17ab7b624,PRICE WATERHOUSE COOPERS,
6b4ac1dfdadcc342,Rubrik Job Board,Information Technology
d57fec2f0ca2f87d,Palo Alto Networks,Information Technology
03f8a4dac7fc64a6,CEDARS-SINAI,Healthcare
cfea18c4ce9f1102,James Avery Craftsman Inc,Retail & Wholesale
e4d1272889da14cf,Siemens,Energy & Utilities
3f861359a93b7846,Tailored Management,Human Resources & Staffing
c9e8d64e46a45746,Larsen & Toubro Infotech Limited,
600175f50bceef01,Disney Streaming,
ed01880594065e9f,Acunor,
69d86d855e088ba0,Akshaya,Hotels & Resorts
a34ec4b5e176d4ed,Cyndx,Financial Services
5cae8a48a76ad36a,BitGo,Information Technology
a601f9263930d640,Cloudflare,Information Technology
52c759523645acf7,Whip Media,
3c9825f4c8e27ddc,Baker Hughes,
dce539b185c62ce7,Quantum-Si,
06cac957a0eeacad,Nuro,Architectural & Engineering Services
c01e3374ee2c8fe6,Intel 471,
e41accd880f2de66,Wondr Health,Healthcare
15bf87c34c4fcd7a,Ryzen Solutions,Health Care Products Manufacturing
8972efb6d3e3ac97,AR Val services,Information Technology
3477a99b1f09e324,"CDNetworks Europe, CO. LTD.",
ce801c28a6defece,Autodesk,Information Technology
976899366ef78ba0,Amazon.com Services LLC,Information Technology
dcd4258e27e6844d,Amazon.com Services LLC,Information Technology
8f1ed2fc911b5070,DISH,Media & Communication
3731161ef1b57adc,Chronograph,
0feeb3eaa9d63cfd,Providence,
9337de76b5c6c8a4,ManTech International Corporation,Information Technology
0fe331b7a35da7a2,Plaid,Information Technology
6b275053e2a9da3a,Visa,Financial Services
da3c4a5452c658c3,Visa,Financial Services
9b4683797d40385f,Visa,Financial Services
6a9ed82164258f19,SciPlay,Software Development
21b431871243e513,Braze,Information Technology
59fe7c4c6b17e5cc,Marin Software,Information Technology
50ec5c46c75df88b,Hach,"Energy, Mining & Utilities"
90836fd1bfed46f3,Jade Global,Information Technology Support Services
f997059442b424bb,Yami,Restaurants & Cafes
c2174505b2d01d78,One Medical,Healthcare
6f1bc79363eb2717,Lambda,Commercial Printing
7d9017b8d513dc15,Equinix,Information Technology
eb325a7bad45a920,Equinix,Information Technology
35361b502d3ab352,Hewlett Packard Enterprise,Information Technology
5d3f61d7a6b713ce,Sam's Club,Retail & Wholesale
b3ba5834d80aea65,Hoag Memorial Hospital Presbyterian,Healthcare
23b5b658ba5d4bfe,Walmart,Retail & Wholesale
78d9e499bd43fd5b,Chegg,Information Technology
c9a157d9f9a752ca,Ankura,Management & Consulting
dc413df43ce00948,Unity Technologies,Information Technology
9c6ecd44f96e3d1f,Genentech,Pharmaceutical & Biotechnology
3abd66db3915ca23,Oracle,Information Technology
087f0850b3f5d3e7,Harley Ellis Devereaux,
355955002d601f66,Harley Ellis Devereaux,
0604b12790fa214e,EXECUTIVE PERSONNEL SERVICES INC,Human Resources & Staffing
13e3b31a52caae1f,Predicine,Medical Testing & Clinical Laboratories
83cff6a258781abc,Red Canyon Engineering & Software,
3497c7dfcaa7c566,PDI,Healthcare
768615bcbbf65637,Sumo Logic,Information Technology
a888f997402bbe6c,PepsiCo,Retail & Wholesale
537ad6d3398bab80,Comcast,Telecommunications
2d3ee28fa5348894,Charles Schwab,Financial Services
51d69267c2d979af,Linux Foundation,Nonprofit & NGO
80fef242ab8f7943,Microsoft,Information Technology
401efe4840cd7a2b,Munich Re America Services,Insurance
242ee36cef76cfdc,Spacee,
b04d2945b9dff29b,Connectedx Inc.,Software Development
0fd2c04ed5d45789,Unite Us,Healthcare
f8f14989b8e7e281,Credit Sesame,Financial Services
d3f0b7b4c342731f,Bosch Group,
162e667edfb44ded,"J.C. Penney Corporation, Inc.",Retail & Wholesale
78294ad9b8c69074,SchoolsFirst FCU,Financial Services
2a4ec8950b790d9d,LOCKHEED MARTIN CORPORATION,
e74b14b2cdfcee09,"Cinemark USA, Inc",Media & Communication
d23201819cb1d777,"Helmerich & Payne, Inc.","Energy, Mining & Utilities"
b0e61b07cbcf0f8d,GFT Technologies SE,Information Technology
8c3e57a7245f0545,1010data,Information Technology
1a867cc2acf75ec0,Thrive Market,Retail & Wholesale
060fa56db36acb41,The New York Times,Media & Communication
ce4e48c1dc286fc3,Away Travel,Hotels & Travel Accommodation
8301c221dc812051,Carrot Fertility,Healthcare
aaefa2a9b03135c9,Seniorly,
489906f59f3fb70c,Google,Information Technology
a57f8b6a06f68771,TripleLift,Media & Communication
15ec857974672fac,Rocket Lawyer,National Agencies
9d0ae0e42f0ff616,Balsam Brands,Retail & Wholesale
dd3c3c2070c58d03,Wework,Management & Consulting
76cca71b1d54ddb8,"Tyler Technologies, Inc.",Information Technology
2133924944335ed8,Tekrek Solutions,
22413d50122fe27c,VMware,Information Technology
6c7d70f2b9eeb28a,Verizon,Telecommunications
47ec81e82915a55b,ParkourSC,
f4829616c35be6b0,ServiceNow,Information Technology
